run,shock,digital,concentration,fail_prob,welfare
129,0.8093,0.8704,0.7224,0.381,0.5095
130,0.8004,0.8825,0.7886,0.389,0.5103
131,0.7615,0.9507,0.8039,0.3912,0.5209
132,0.7234,0.8972,0.7869,0.3696,0.5174
133,0.7058,0.9677,0.7735,0.3755,0.5272
134,0.7156,0.9115,0.7652,0.3668,0.5201
135,0.7093,0.962,0.8053,0.3796,0.5256
136,0.7265,0.9325,0.7285,0.3691,0.5226
137,0.7049,0.8721,0.6924,0.3426,0.5188
138,0.7555,0.9261,0.6969,0.3721,0.5204
139,0.7479,0.8786,0.7422,0.3672,0.5145
140,0.7463,0.9685,0.7013,0.3779,0.5259
141,0.6862,0.953,0.8067,0.3714,0.5262
142,0.6991,0.8798,0.7076,0.3449,0.5196
143,0.7901,0.9313,0.7795,0.3925,0.5171
144,0.7734,0.9083,0.7517,0.3814,0.5159
145,0.7425,0.9612,0.7847,0.3859,0.5237
146,0.7484,0.9197,0.7887,0.3812,0.5182
147,0.6851,0.9181,0.7566,0.3567,0.5236
148,0.7792,0.9024,0.7523,0.3821,0.5148
149,0.7487,0.8827,0.7393,0.3679,0.5149
150,0.7115,0.9096,0.7571,0.3639,0.5205
151,0.8054,0.9213,0.7409,0.3904,0.5156
152,0.7322,0.9353,0.753,0.3747,0.5219
153,0.6727,0.8715,0.7772,0.3447,0.5191
154,0.7855,0.9112,0.6924,0.3774,0.5166
155,0.706,0.878,0.797,0.3614,0.5164
156,0.7673,0.9292,0.7421,0.3821,0.519
157,0.6708,0.9288,0.7765,0.357,0.5254
158,0.7289,0.875,0.7783,0.3657,0.5147
159,0.808,0.9223,0.7616,0.3934,0.5152
160,0.7362,0.9335,0.716,0.3705,0.5222
161,0.6821,0.8871,0.7716,0.3509,0.5201
162,0.7768,0.9182,0.7613,0.3851,0.5167
163,0.7767,0.9628,0.7538,0.391,0.5223
164,0.7261,0.9258,0.7912,0.3762,0.5204
165,0.6971,0.8832,0.6965,0.3431,0.5205
166,0.7025,0.9163,0.7759,0.3651,0.5215
167,0.798,0.9008,0.7157,0.3822,0.514
168,0.7711,0.9385,0.7331,0.3835,0.52
169,0.6745,0.9087,0.7694,0.3528,0.5231
170,0.6927,0.8909,0.7099,0.3457,0.5213
171,0.7637,0.9357,0.7425,0.3822,0.52
172,0.7474,0.9369,0.7303,0.3764,0.5215
173,0.7382,0.9656,0.7719,0.384,0.5247
174,0.7601,0.9512,0.7234,0.3815,0.5225
175,0.8127,0.9686,0.6902,0.3931,0.5219
176,0.7379,0.9695,0.6986,0.3754,0.5267
177,0.795,0.9636,0.8034,0.4004,0.5194
178,0.6931,0.8822,0.7934,0.3573,0.518
179,0.7624,0.8953,0.7831,0.3803,0.5145
180,0.7948,0.9579,0.6963,0.388,0.5215
181,0.6806,0.8796,0.7573,0.3463,0.5198
182,0.739,0.9021,0.7009,0.3629,0.5188
183,0.7387,0.9436,0.7974,0.3836,0.5216
184,0.7549,0.9576,0.763,0.386,0.5228
185,0.7153,0.9505,0.8058,0.3793,0.5238
186,0.7901,0.9155,0.8069,0.3933,0.5147
187,0.7391,0.9193,0.7654,0.3756,0.5193
188,0.7131,0.8743,0.7247,0.3517,0.5173
189,0.8001,0.9482,0.7257,0.3913,0.5195
190,0.6887,0.9248,0.7618,0.3601,0.5239
191,0.7435,0.9077,0.6945,0.3646,0.5193
192,0.7291,0.9141,0.7468,0.369,0.5198
193,0.7845,0.9545,0.7668,0.3931,0.5206
194,0.8279,0.9306,0.7206,0.3946,0.5157
195,0.7586,0.9179,0.7525,0.3791,0.518
196,0.7048,0.9458,0.7064,0.3617,0.5263
197,0.7763,0.9362,0.7166,0.3824,0.5197
198,0.8224,0.8982,0.7969,0.3972,0.5108
199,0.8055,0.9289,0.737,0.3911,0.5166
200,0.6923,0.9152,0.8048,0.3657,0.5214
201,0.7965,0.876,0.7147,0.3773,0.5112
202,0.6927,0.8966,0.7393,0.3518,0.5211
203,0.7736,0.9055,0.7531,0.3812,0.5155
204,0.8122,0.9472,0.7914,0.4008,0.5177
205,0.7635,0.9167,0.7958,0.3857,0.5167
206,0.7422,0.9203,0.7779,0.3782,0.5189
207,0.7789,0.894,0.7243,0.3769,0.5144
208,0.8091,0.9016,0.7154,0.3851,0.5134
209,0.8156,0.914,0.775,0.3955,0.5135
210,0.6777,0.943,0.7906,0.3644,0.5261
211,0.7007,0.8749,0.7775,0.3559,0.517
212,0.6886,0.9559,0.7652,0.3669,0.5273
213,0.828,0.9105,0.7758,0.3979,0.5124
214,0.8054,0.8864,0.8098,0.3931,0.5101
215,0.726,0.9664,0.7126,0.3732,0.5269
216,0.7471,0.8787,0.8068,0.3761,0.5131
217,0.6991,0.9635,0.8023,0.3765,0.5266
218,0.8101,0.9625,0.7326,0.3963,0.5206
219,0.744,0.9555,0.7236,0.3779,0.5241
220,0.8127,0.8994,0.788,0.3942,0.5116
221,0.7119,0.8746,0.7066,0.3483,0.518
222,0.6847,0.898,0.8078,0.3599,0.5201
223,0.7406,0.9024,0.7872,0.3758,0.5167
224,0.7006,0.8755,0.7265,0.3477,0.5185
225,0.731,0.9279,0.792,0.3781,0.5203
226,0.7176,0.9114,0.7755,0.3689,0.5197
227,0.7331,0.8973,0.7285,0.3642,0.5181
228,0.6707,0.9581,0.7964,0.366,0.5282
229,0.6901,0.897,0.7747,0.3566,0.5204
230,0.7991,0.9522,0.7583,0.3952,0.5195
231,0.7136,0.9649,0.7961,0.3801,0.5258
232,0.8264,0.9507,0.7943,0.4043,0.5171
233,0.7364,0.9396,0.7952,0.3821,0.5213
234,0.8171,0.9327,0.7374,0.3943,0.5164
235,0.77,0.966,0.7427,0.3887,0.5233
236,0.6734,0.9021,0.7994,0.3557,0.5217
237,0.7597,0.872,0.7973,0.3772,0.5116
238,0.6838,0.8757,0.7291,0.3418,0.52
239,0.8276,0.9135,0.7621,0.3967,0.513
240,0.8029,0.8794,0.7975,0.3901,0.5096
241,0.6856,0.9673,0.6911,0.3576,0.5306
242,0.768,0.8847,0.7883,0.3807,0.5127
243,0.7313,0.9446,0.7481,0.3755,0.5232
244,0.8159,0.9214,0.7917,0.3983,0.5142
245,0.7495,0.9489,0.7158,0.3772,0.5231
246,0.747,0.9523,0.7432,0.3806,0.5231
247,0.7219,0.9255,0.7006,0.3622,0.5228
248,0.6903,0.922,0.7241,0.3543,0.5244
249,0.7334,0.9111,0.7394,0.3687,0.5193
250,0.7521,0.926,0.728,0.3755,0.5199
251,0.7744,0.9125,0.7397,0.3809,0.5165
252,0.6724,0.9225,0.8055,0.3605,0.5239
253,0.736,0.9426,0.7359,0.3749,0.5229
254,0.6828,0.872,0.7009,0.3354,0.5206
255,0.7647,0.9592,0.78,0.3906,0.5221
256,0.7641,0.9134,0.7413,0.3784,0.5173
257,0.6779,0.9421,0.7551,0.3592,0.5268
258,0.7536,0.9436,0.7555,0.3825,0.5214
259,0.7717,0.9297,0.7569,0.3851,0.5185
260,0.6973,0.8917,0.7228,0.3497,0.5206
261,0.7472,0.938,0.7116,0.374,0.522
262,0.8185,0.9294,0.7735,0.398,0.5153
263,0.7593,0.9232,0.7323,0.3775,0.519
264,0.6911,0.9543,0.7062,0.3589,0.5284
265,0.744,0.8754,0.7345,0.3642,0.5146
266,0.7192,0.9416,0.7464,0.3711,0.5237
267,0.7796,0.8914,0.7815,0.3841,0.5128
268,0.7319,0.9059,0.7888,0.3741,0.5177
269,0.7035,0.9362,0.7622,0.3674,0.524
270,0.7751,0.8865,0.7864,0.3827,0.5125
271,0.7771,0.9138,0.7299,0.3806,0.5167
272,0.8229,0.9036,0.7229,0.3899,0.5126
273,0.7999,0.9382,0.696,0.3863,0.5188
274,0.8278,0.8978,0.7666,0.3952,0.5109
275,0.8291,0.8702,0.7851,0.3937,0.5071
276,0.8198,0.8772,0.7229,0.385,0.5096
277,0.6896,0.9645,0.7138,0.3617,0.5294
278,0.7105,0.9561,0.7094,0.366,0.5269
279,0.8106,0.9476,0.7799,0.3994,0.518
280,0.6853,0.8753,0.7925,0.3528,0.518
281,0.7214,0.9261,0.7193,0.3649,0.5224
282,0.7878,0.879,0.7812,0.3843,0.5108
283,0.8102,0.9595,0.6966,0.392,0.5208
284,0.7988,0.9308,0.7979,0.3964,0.5163
285,0.7428,0.9665,0.7576,0.3836,0.5248
286,0.7489,0.9674,0.7663,0.3864,0.5244
287,0.6768,0.9328,0.754,0.3567,0.5259
288,0.7952,0.8989,0.7048,0.3796,0.5142
289,0.7577,0.8997,0.775,0.3786,0.5155
290,0.7303,0.9298,0.7884,0.3778,0.5207
291,0.7406,0.8737,0.7113,0.3591,0.5153
292,0.8051,0.9173,0.7369,0.3892,0.5152
293,0.767,0.934,0.7939,0.389,0.5186
294,0.7466,0.8955,0.7744,0.3746,0.5158
295,0.7913,0.9221,0.7463,0.3876,0.5165
296,0.776,0.8836,0.8021,0.3844,0.5118
297,0.7151,0.8921,0.8098,0.3691,0.5169
298,0.7642,0.9591,0.7757,0.3899,0.5222
299,0.7422,0.9091,0.7978,0.3789,0.5172
